priority,bs_year,month,month_name,reason,confidence_score,risk_flags,needed_evidence
P0,2089,11,Falgun,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P0,2089,12,Chaitra,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P1,2091,4,Shrawan,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P1,2091,5,Bhadra,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P1,2092,12,Chaitra,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,1,Baishakh,invalid_or_exceptional_year_total,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,2,Jestha,invalid_or_exceptional_year_total,0.82,manual_review_recommended|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,3,Ashadh,invalid_or_exceptional_year_total,0.82,manual_review_recommended|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,4,Shrawan,invalid_or_exceptional_year_total,0.82,manual_review_recommended|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,5,Bhadra,invalid_or_exceptional_year_total,0.82,historically_sensitive_month|manual_review_recommended|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,6,Ashwin,invalid_or_exceptional_year_total,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,7,Kartik,invalid_or_exceptional_year_total,0.992,diagnostic_baseline_disagreement|manual_review_recommended|resolved_statistical_solar_disagreement|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,8,Mangsir,invalid_or_exceptional_year_total,0.82,historically_sensitive_month|manual_review_recommended|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,9,Poush,invalid_or_exceptional_year_total,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,10,Magh,invalid_or_exceptional_year_total,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,11,Falgun,invalid_or_exceptional_year_total,0.82,historically_sensitive_month|manual_review_recommended|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P0,2093,12,Chaitra,invalid_or_exceptional_year_total,0.82,manual_review_recommended|year_level_model_disagreement,official_panchanga_or_verified_printed_reference
P1,2096,12,Chaitra,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2097,1,Baishakh,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2097,11,Falgun,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|historically_sensitive_month|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2097,12,Chaitra,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2099,2,Jestha,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2099,3,Ashadh,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P1,2100,1,Baishakh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,2,Jestha,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,3,Ashadh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,4,Shrawan,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,5,Bhadra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,6,Ashwin,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,7,Kartik,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,8,Mangsir,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,9,Poush,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,10,Magh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,11,Falgun,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2100,12,Chaitra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,1,Baishakh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,2,Jestha,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,3,Ashadh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,4,Shrawan,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,5,Bhadra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,6,Ashwin,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,7,Kartik,low_confidence_or_manual_review,0.9325,diagnostic_baseline_disagreement|manual_review_recommended|outside_static_lookup|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2101,8,Mangsir,low_confidence_or_manual_review,0.9325,diagnostic_baseline_disagreement|manual_review_recommended|outside_static_lookup|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2101,9,Poush,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,10,Magh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,11,Falgun,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2101,12,Chaitra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,1,Baishakh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,2,Jestha,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,3,Ashadh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,4,Shrawan,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,5,Bhadra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,6,Ashwin,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,7,Kartik,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,8,Mangsir,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,9,Poush,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,10,Magh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,11,Falgun,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2102,12,Chaitra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,1,Baishakh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,2,Jestha,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,3,Ashadh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,4,Shrawan,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,5,Bhadra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,6,Ashwin,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,7,Kartik,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,8,Mangsir,low_confidence_or_manual_review,0.9325,diagnostic_baseline_disagreement|manual_review_recommended|outside_static_lookup|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2103,9,Poush,low_confidence_or_manual_review,0.6956,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|outside_static_lookup|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2103,10,Magh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,11,Falgun,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2103,12,Chaitra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,1,Baishakh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,2,Jestha,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,3,Ashadh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,4,Shrawan,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,5,Bhadra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,6,Ashwin,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,7,Kartik,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,8,Mangsir,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,9,Poush,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2104,10,Magh,low_confidence_or_manual_review,0.6956,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|outside_static_lookup|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2104,11,Falgun,low_confidence_or_manual_review,0.6956,diagnostic_baseline_disagreement|historically_sensitive_month|manual_review_recommended|model_disagreement|outside_static_lookup|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2104,12,Chaitra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,1,Baishakh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,2,Jestha,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,3,Ashadh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,4,Shrawan,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,5,Bhadra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,6,Ashwin,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,7,Kartik,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,8,Mangsir,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,9,Poush,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,10,Magh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,11,Falgun,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2105,12,Chaitra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,1,Baishakh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,2,Jestha,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,3,Ashadh,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,4,Shrawan,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,5,Bhadra,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,6,Ashwin,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,7,Kartik,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
P1,2106,8,Mangsir,low_confidence_or_manual_review,0.9325,outside_static_lookup,official_panchanga_or_verified_printed_reference
