priority,bs_year,bs_month,issue_type,current_candidate_start_dates,sources,reason,expected_information_gain,recommended_manual_action,source_file_or_url,page_number_or_crop_if_available
100,2088,11,source_disagreement,2032-02-14,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
100,2088,12,source_disagreement,2032-03-15,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2089,1,source_disagreement,2032-04-14,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2089,2,source_disagreement,2032-05-14,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2089,3,source_disagreement,2032-06-15,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2089,4,source_disagreement,2032-07-16,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2089,5,source_disagreement,2032-08-17,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2089,6,source_disagreement,2032-09-17,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2089,7,source_disagreement,2032-10-17,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2089,8,source_disagreement,2032-11-16,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2089,9,source_disagreement,2032-12-16,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2089,10,source_disagreement,2033-01-14,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2089,11,source_disagreement,2033-02-13,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2089,12,source_disagreement,2033-03-15,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2090,1,source_disagreement,2033-04-14,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2090,2,source_disagreement,2033-05-14,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2090,3,source_disagreement,2033-06-15,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2090,4,source_disagreement,2033-07-16,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2090,5,source_disagreement,2033-08-17,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2090,6,source_disagreement,2033-09-17,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2090,7,source_disagreement,2033-10-17,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2090,8,source_disagreement,2033-11-16,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2090,9,source_disagreement,2033-12-16,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2090,10,source_disagreement,2034-01-14,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2090,11,source_disagreement,2034-02-13,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
100,2090,12,source_disagreement,2034-03-15,medic_bikram_sambat_daysInMonth,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
100,2091,1,source_disagreement,2034-04-14,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2091,2,source_disagreement,2034-05-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2091,9,source_disagreement,2034-12-16,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2091,10,source_disagreement,2035-01-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2091,11,source_disagreement,2035-02-13,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2092,1,source_disagreement,2035-04-14,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2092,2,source_disagreement,2035-05-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2092,6,source_disagreement,2035-09-18,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2092,10,source_disagreement,2036-01-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2092,11,source_disagreement,2036-02-13,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2093,1,source_disagreement,2036-04-14,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2093,6,source_disagreement,2036-09-17,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2093,9,source_disagreement,2036-12-16,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2093,11,source_disagreement,2037-02-13,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2094,1,source_disagreement,2037-04-14,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2094,2,source_disagreement,2037-05-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2094,6,source_disagreement,2037-09-17,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2094,9,source_disagreement,2037-12-16,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2094,11,source_disagreement,2038-02-13,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2095,1,source_disagreement,2038-04-14,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2095,2,source_disagreement,2038-05-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2095,9,source_disagreement,2038-12-16,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2095,10,source_disagreement,2039-01-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2095,11,source_disagreement,2039-02-13,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2096,1,source_disagreement,2039-04-14,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2096,2,source_disagreement,2039-05-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2096,6,source_disagreement,2039-09-18,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2096,10,source_disagreement,2040-01-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2096,11,source_disagreement,2040-02-13,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2097,10,source_disagreement,2041-01-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2098,10,source_disagreement,2042-01-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2099,6,source_disagreement,2042-09-18,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
100,2099,10,source_disagreement,2043-01-15,ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
75,2000,2,low_trust_consensus,1943-05-14,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,3,low_trust_consensus,1943-06-15,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,4,low_trust_consensus,1943-07-16,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,5,low_trust_consensus,1943-08-17,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,6,low_trust_consensus,1943-09-17,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,7,low_trust_consensus,1943-10-17,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,8,low_trust_consensus,1943-11-16,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,9,low_trust_consensus,1943-12-16,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,10,low_trust_consensus,1944-01-14,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,11,low_trust_consensus,1944-02-13,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2000,12,low_trust_consensus,1944-03-13,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2001,2,low_trust_consensus,1944-05-14,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2001,3,low_trust_consensus,1944-06-14,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2001,4,low_trust_consensus,1944-07-16,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2001,5,low_trust_consensus,1944-08-16,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2001,6,low_trust_consensus,1944-09-16,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2001,7,low_trust_consensus,1944-10-17,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
75,2001,8,low_trust_consensus,1944-11-16,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Only software/third-party-level consensus currently supports this month.,medium,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
