rank,bs_year,bs_month,current_status,current_sources,issue_type,expected_accuracy_gain,expected_claim_readiness_gain,reason,recommended_manual_action,source_url_or_file,page_or_crop_if_available
17,2087,10,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
18,2087,11,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
19,2087,12,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
20,2088,1,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
21,2088,2,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
22,2088,3,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
23,2088,4,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
24,2088,5,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
25,2088,6,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
26,2088,7,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
27,2088,8,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
28,2088,9,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
29,2088,10,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
30,2088,11,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
31,2088,12,source_disagreement,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
32,2089,1,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
33,2089,2,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
34,2089,3,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
35,2089,4,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
36,2089,5,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
37,2089,6,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
38,2089,7,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
39,2089,8,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
40,2089,9,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
41,2089,10,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
42,2089,11,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
43,2089,12,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
44,2090,1,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
45,2090,2,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
46,2090,3,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
47,2090,4,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
48,2090,5,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
49,2090,6,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
50,2090,7,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
51,2090,8,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
52,2090,9,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
53,2090,10,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
54,2090,11,source_disagreement,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive,
55,2090,12,source_disagreement,medic_bikram_sambat_daysInMonth,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth,
56,2091,1,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
57,2091,2,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
58,2091,9,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
59,2091,10,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
60,2091,11,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
61,2092,1,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
62,2092,2,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
63,2092,6,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
64,2092,10,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
65,2092,11,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
66,2093,1,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
67,2093,6,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
68,2093,9,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
69,2093,11,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
70,2094,1,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
71,2094,2,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
72,2094,6,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
73,2094,9,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
74,2094,11,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
75,2095,1,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
76,2095,2,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
77,2095,9,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
78,2095,10,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
79,2095,11,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
80,2096,1,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
81,2096,2,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
82,2096,6,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
83,2096,10,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
84,2096,11,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
85,2097,10,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
86,2098,10,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
87,2099,6,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
88,2099,10,source_disagreement,ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,ratopati_event_day_archive,
89,2000,2,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
90,2000,3,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
91,2000,4,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
92,2000,5,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
93,2000,6,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
94,2000,7,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
95,2000,8,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
96,2000,9,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
97,2000,10,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
98,2000,11,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
99,2000,12,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2001,2,low_trust_consensus,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,low_trust_consensus,medium,medium,Only software/third-party-level consensus currently supports this month.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
