bs_year,month,priority,reason,current_sources,needed_source_type,expected_information_gain,how_it_improves_accuracy
2086,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,12,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,8,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,11,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2087,12,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,1,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2088,12,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,9,P1,uncertain_or_boundary_sensitive,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2089,12,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2090,12,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,8,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,11,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2091,12,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,1,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2092,12,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,9,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,11,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2093,12,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,2,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2094,12,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,8,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2095,11,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,1,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2096,12,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2097,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
