rank,priority,ird_serial,pan,application_name,version,enlisted_no,ird_page,segment,technology,fit_reason,outreach_angle
16,A,1355,622314699,"ERPNext-NepalPBCS","15.52.0",8201356,72,erp_localization,"HTML; JavaScript; Python; MariaDB","Nepal ERPNext localization is a direct upstream integration target","Shared fixtures and annual source updates"
17,A,1301,610020692,"Finora","1.0.0",8201302,70,finance_erp,"React; Laravel","Finance-oriented product has direct fiscal and due-date exposure","Fiscal and repayment-date audit"
18,A,1359,610333262,"Fox ERP","2.0",8201360,72,erp,"Bootstrap; JavaScript; jQuery; ASP.NET Core 8","Current web ERP stack supports straightforward service integration","API integration and CI guardrails"
19,A,1353,610323809,"Giga Account ERP","1",8201354,72,accounting_erp,".NET; SQL Server","Accounting ERP depends on consistent dual-date records","Ledger date and fiscal-boundary audit"
20,A,1349,622391469,"Energetic ERP","1.0.0",8201350,72,erp,"C# .NET; DevExpress; Crystal Reports; SQL Server","ERP reports and billing carry high boundary-date impact","Report and transaction-date conformance audit"
21,B,1346,621244287,"Audit Accounting ERP - Madat POS","12",8201347,72,accounting_pos,"C# .NET; MAUI; WPF; ASP; WinForms; SQL Server; SQLite","Accounting and POS combine online and offline date paths","Offline and server calendar parity audit"
22,B,1304,619843254,"Thulo SmartBook","0.0.1",8201305,70,accounting,"HTML; CSS; PHP","Early accounting product can adopt a clean date layer before scale","Low-friction API and fixture integration"
23,B,1332,621188101,"Visma ERP Solution","v25",8201333,71,erp,".NET Core; WinForms; SQL Server","ERP vendor likely maintains multiple customer installations","Annual regression pack and support contract"
24,B,1330,619769004,"Vividia ERP","1.0.0",8201331,71,erp,"PowerBuilder","Legacy-style ERP benefits from external conformance fixtures","CSV audit and migration-safe test vectors"
25,B,1329,609684009,"eCalculo","2.0",8201330,71,accounting,"Vue.js; Java","Web accounting product is compatible with service integration","Dual-date and fiscal API audit"
26,B,1302,619884310,"SHIMS ERP","1.2.25.1",8201303,70,healthcare_erp,"C#; ASP.NET; DevExpress; Crystal Reports; SQL Server","Healthcare ERP uses appointments billing and reporting dates","Healthcare calendar and billing audit"
27,B,1320,622311915,"Nextwave ERP","v1.0",8201321,71,erp,"Angular; ASP.NET Core; SQL Server 2019","Modern ERP stack offers a clear API integration path","Boundary test pack and CI setup"
28,B,1260,621194874,"Fasto Nepal Private Limited","1.0.1",8101261,66,business_software,"Django templates; Django","Python web product can integrate Parva directly","Python SDK and date-risk mini-audit"
29,B,1256,621299676,"Flight ERP","1.0",8101257,66,travel_erp,"React; Laravel","Travel workflows depend on booking invoice and settlement dates","Travel booking and billing date audit"
30,B,1237,305595490,"QuantumERP","1.0",8101238,65,erp,".NET Blazor WebAssembly; .NET Core Web API","Modern separated frontend and backend can drift on calendar data","Frontend-backend parity audit"
31,B,1226,610305407,"SMARTerp","1.0",8101227,65,erp,"HTML; CSS; React; PHP","ERP product has standard invoice and reporting exposure","Core BS conversion audit"
32,B,1200,604355713,"OPTERP","1",8101201,63,erp,"Vue.js; Python","Python ERP is technically easy to integrate and validate","Python conformance fixtures"
33,B,1201,600729073,"webERP","5.0",8101202,63,erp,"Microsoft .NET Core; Microsoft SQL Server","Established ERP version suggests an active maintained product","Annual update and regression support"
34,B,1217,619807241,"Dollar ERP Nepal","not stated",8101218,64,erp,"VB.NET; Microsoft SQL Server","Nepal-specific ERP has direct local-calendar relevance","CSV-based boundary audit"
35,B,1209,606549161,"Mero Accounts","1",8101210,64,accounting,"HTML; CSS; JavaScript; Laravel; PHP","Accounting product needs reliable fiscal and invoice dates","Accounting date assurance pilot"
36,B,1222,610048319,"KhataCloud","v1.0",8101223,65,accounting,"AngularJS; MVC Core; C#","Cloud ledger product is exposed to dual-date persistence errors","Round-trip and fiscal cutover audit"
37,B,1284,601983876,"fOneLekha","1.0.0",8201285,68,accounting,"PHP; Laravel; jQuery; MySQL","Ledger product has strong date and reporting fit","Ledger date regression pack"
38,B,1286,619808916,"Day Khata-eBilling","1.0",8201287,68,billing,"HTML; JavaScript; AJAX; PHP; Laravel; MySQL","Billing and ledger combination creates recurring calendar work","Invoice and fiscal-source audit"
39,B,1287,622358185,"MIS.AC Billing","v1.0-S",8201288,68,billing,"HTML; CSS; JavaScript; PHP; Python; MariaDB","Multi-language billing stack benefits from one shared date contract","Cross-runtime test vectors"
40,B,1280,621309540,"Veera Billing Software","1.0",8201281,68,billing,"React; Java Spring Boot","Separated web and Java stack can adopt API and contract tests","Java and JavaScript parity audit"
41,B,1268,606523183,"Leading Edge Billing","v1",8101269,67,billing,"HTML; CSS; JavaScript; jQuery; C# .NET Core; PostgreSQL","Current billing stack has direct conversion and due-date risk","Billing boundary mini-audit"
42,B,1269,619843135,"Accrue Billing","1.0",8101270,67,billing,"React 16; .NET Core 3; PostgreSQL","Billing product has an obvious supported integration surface","API validation and regression fixtures"
43,B,1356,609839076,"KeyI Billing","Version 1",8201357,72,billing,"HTML; CSS; Livewire; Laravel; PHP; MySQL","Dedicated billing application is a direct assurance prospect","Twenty-case billing audit"
44,B,1358,606842651,"Bizpro E-billing","2.0",8201359,72,billing,"HTML; CSS; JavaScript; PHP; PostgreSQL","E-billing product has invoice fiscal and CBMS date workflows","Invoice and fiscal-year assurance"
45,B,1368,621283514,"Flash POS","1.0",8201369,73,pos,"Flutter; Laravel","Mobile and backend date logic can diverge at BS boundaries","Mobile-backend parity audit"
46,B,1212,600590965,"WiseMD Inventory and POS","1",8101213,64,pos,"React; Scala; PostgreSQL","Inventory and POS dates affect stock and invoice reports","Transaction-date conformance pack"
47,B,1259,619853572,"SoftPOS","v1.98",8101260,66,pos,"React; Python","Modern POS stack can consume both SDKs and CI fixtures","POS day-close and invoice-date audit"
48,B,1291,621286317,"Deskgoo POS software","v1.0",8201292,69,pos,"HTML; CSS; JavaScript; jQuery; PHP; CodeIgniter","POS workflows need day-close and fiscal boundary correctness","POS closing-date audit"
49,B,1278,604227579,"PurnimaTrade","1.0.0",8201279,67,trade_erp,"HTML; CSS; JavaScript; ASP.NET Core; C#; SQL Server","Trade application combines inventory invoices and reports","Trade settlement and fiscal audit"
50,B,1255,300975459,"eMedipro","2.0",8101256,66,healthcare_erp,"Angular; C#; Python; React; SQL Server","Healthcare billing and appointments require consistent civil dates","Healthcare date-risk pilot"
